#GRM155R61H105ME05,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.25,-0.9772254766439947,
0.5,-2.2884882707839616,
0.75,-3.8953153954253583,
1.0,-5.759053052177022,
1.25,-7.841668003260782,
1.5,-10.10640970148563,
1.75,-12.51833616272907,
2.0,-15.044711249167808,
2.25,-17.655284362269008,
2.5,-20.322465666568412,
2.75,-23.021411056726627,
3.0,-25.730031332864346,
3.25,-28.42893965196762,
3.5,-31.101350452050436,
3.75,-33.73294185620009,
4.0,-36.31169218708099,
4.25,-38.82769976545228,
4.5,-41.27299371124281,
4.75,-43.641342073296784,
5.0,-45.92806232558535,
5.25,-48.12983810910498,
5.5,-50.244545082742896,
5.75,-52.27108787617458,
6.0,-54.20924940928595,
6.25,-56.059553246658425,
6.5,-57.82313918018921,
6.75,-59.501651864156145,
7.0,-61.09714205063701,
7.25,-62.61197977506463,
7.5,-64.04877870854509,
7.75,-65.4103308132308,
8.0,-66.69955039869741,
8.25,-67.91942667149404,
8.5,-69.0729838887768,
8.75,-70.16324826345873,
9.0,-71.19322081708171,
9.25,-72.16585543317657,
9.5,-73.08404142469712,
9.75,-73.95058999147388,
10.0,-74.76822400547837,
10.25,-75.53957062153438,
10.5,-76.2671562679137,
10.75,-76.95340362434118,
11.0,-77.60063024391141,
11.25,-78.21104852011659,
11.5,-78.78676674059157,
11.75,-79.32979100540916,
12.0,-79.842027819996,
12.25,-80.32528720123958,
12.5,-80.7812861603963,
12.75,-81.21165244828671,
13.0,-81.61792846727832,
13.25,-82.00157527099853,
13.5,-82.36397658687505,
13.75,-82.70644280873111,
14.0,-83.03021491701259,
14.25,-83.33646829302238,
14.5,-83.6263164009832,
14.75,-83.90081431803073,
15.0,-84.16096209751738,
15.25,-84.40770795542872,
15.5,-84.64195127340395,
15.75,-84.86454541492942,
16.0,-85.07630035382377,
16.25,-85.27798511625369,
16.5,-85.47033003926828,
16.75,-85.65402885029003,
17.0,-85.82974057319532,
17.25,-85.99809126760417,
17.5,-86.15967560881079,
17.75,-86.31505831645741,
18.0,-86.46477544059556,
18.25,-86.60933551422781,
18.5,-86.74922058177212,
18.75,-86.8848871131698,
19.0,-87.0167668135588,
19.25,-87.14526733857213,
19.5,-87.27077292539394,
19.75,-87.39364494971493,
20.0,-87.51422241867635,
20.25,-87.63282240977685,
20.5,-87.74974046553535,
20.75,-87.86525095345962,
21.0,-87.9796074005594,
21.25,-88.09304281126629,
21.5,-88.20576997718237,
21.75,-88.31798178657264,
22.0,-88.42985154095125,
22.25,-88.54153328548556,
22.5,-88.653162159265,
22.75,-88.76485477075636,
23.0,-88.87670960300171,
23.25,-88.9888074523158,
23.5,-89.1012119034224,
23.75,-89.21396984312679,
24.0,-89.32711201379126,
24.25,-89.44065360704056,
24.5,-89.55459489731635,
24.75,-89.66892191411102,
25.0,-89.78360715096592,
25.25,-89.89861030862276,
25.5,-90.01387906907658,
25.75,-90.12934989670407,
26.0,-90.24494886215003,
26.25,-90.36059248422188,
26.5,-90.47618858471907,
26.75,-90.59163715086743,
27.0,-90.70683119986978,
27.25,-90.8216576400122,
27.5,-90.93599812277868,
27.75,-91.04972988052528,
28.0,-91.1627265444433,
28.25,-91.27485893778872,
28.5,-91.38599583967955,
28.75,-91.49600471513759,
29.0,-91.60475240748448,
29.25,-91.71210578967481,
29.5,-91.81793237166241,
29.75,-91.9221008614305,
30.0,-92.02448167786658,
30.25,-92.12494741423477,
30.5,-92.2233732515518,
30.75,-92.31963732174269,
31.0,-92.41362102099285,
31.25,-92.50520927424212,
31.5,-92.59429075228063,
31.75,-92.68075804338196,
32.0,-92.7645077818666,
32.25,-92.8454407364128,
32.5,-92.92346186132843,
32.75,-92.99848031436093,
33.0,-93.07040944496447,
33.25,-93.13916675725167,
33.5,-93.20467385215456,
33.75,-93.26685635358353,
34.0,-93.32564382364284,
34.25,-93.3809696721971,
34.5,-93.43277106634241,
34.75,-93.48098884557066,
35.0,-93.52556744867829,
35.25,-93.56645485872572,
35.5,-93.60360257264145,
35.75,-93.6369656023672,
36.0,-93.66650251475482,
36.25,-93.69217551779185,
36.5,-93.71395060109582,
36.75,-93.73179773903493,
37.0,-93.74569116525247,
37.25,-93.75560972781882,
37.5,-93.7615373347001,
37.75,-93.76346349967153,
38.0,-93.7613839992515,
38.25,-93.75530165162522,
38.5,-93.74522722884709,
38.75,-93.73118051384367,
39.0,-93.71319151382355,
39.25,-93.69130184157702,
39.5,-93.66556627579553,
39.75,-93.63605451082414,
40.0,-93.6028531051767,
40.25,-93.56606763650588,
40.5,-93.5258250684992,
40.75,-93.48227633219457,
41.0,-93.43559912035411,
41.25,-93.3860008886779,
41.5,-93.33372205156383,
41.75,-93.27903935276994,
42.0,-93.22226938242112,
42.25,-93.16377220132792,
42.5,-93.10395502125719,
42.75,-93.04327587569932,
43.0,-92.9822471996003,
43.25,-92.92143921864991,
43.5,-92.86148302907148,
43.75,-92.8030732277343,
44.0,-92.74696993025317,
44.25,-92.69399999208976,
44.5,-92.64505722544246,
44.75,-92.6011013839247,
45.0,-92.56315566916585,
45.25,-92.53230250011487,
45.5,-92.50967727912337,
45.75,-92.49645989104854,
46.0,-92.493863685273,
46.25,-92.50312171849976,
46.5,-92.52547008112863,
46.75,-92.56212819481352,
47.0,-92.6142760556515,
47.25,-92.68302850817852,
47.5,-92.76940677054932,
47.75,-92.87430759032176,
48.0,-92.99847059072025,
48.25,-93.14244456423559,
48.5,-93.30655367679667,
48.75,-93.49086475122719,
49.0,-93.69515699024554,
49.25,-93.91889566099711,
49.5,-94.16121137688073,
49.75,-94.42088665873642,
50.0,-94.69635141675042,
