part_number,spec_application,supplystatus_sort,capacitance_sort[pF],rvol,rvol_ac_list,opetemp-max,tcc,LWSize_mm_inch,size_thickness_max,tolerance,Type,caution,file_information,,
KCM55WC71E107MH13,AIC|APS|MeI,In Production,100000000,25,-,125,X7S,5750M/2220,6.7,±20%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
GCM31CD70E107ME36,AIC|APS|MeI,In Production,100000000,2.5,-,125,X7T,3216M/1206,1.9,±20%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GCM31CD70E107ME35,AIC|APS|MeI,In Production,100000000,2.5,-,125,X7T,3216M/1206,1.9,±20%,Powertrain/Safety for Automotive,,[n],[s],[t]
GCJ32ED70E107ME02,AIC|APS|MeI,In Production,100000000,2.5,-,125,X7T,3225M/1210,2.85,±20%,Resin external electrode for Powertrain/safety for Automotive [AEC-Q200],,[n],[s],[t]
GRM21BD70E107ME01,CE|IE|AIC|MeI|ME,In Production,100000000,2.5,-,125,X7T,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GCM32ED70E107ME36,AIC|APS|MeI,In Production,100000000,2.5,-,125,X7T,3225M/1210,2.85,±20%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GCM31CD70G107ME36,AIC|APS|MeI,In Production,100000000,4,-,125,X7T,3216M/1206,1.9,±20%,Powertrain/Safety for Automotive [AEC-Q200],derating7,[n],[s],[t]
GRM32EE70G107ME19,CE|IE|AIC|MeI|ME,In Production,100000000,4,-,125,X7U,3225M/1210,2.7,±20%,General Purpose,,[n],[s],[t]
GRM32EE70J107ME15,CE|IE|AIC|MeI|ME,In Production,100000000,6.3,-,125,X7U,3225M/1210,2.7,±20%,General Purpose,derating1,[n],[s],[t]
GCM31CN8EA107ME08,AIC|APS|MeI,In Production,100000000,2.5,-,150,X8N,3216M/1206,1.9,±20%,Powertrain/Safety for Automotive [AEC-Q200],derating4,[n],[s],[t]
KCM55WR71E686MH01,AIC|APS|MeI,In Production,68000000,25,-,125,X7R,5750M/2220,6.7,±20%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
KRM55WR71E686MH01,CE|IE|MeI|ME,In Production,68000000,25,-,125,X7R,5750M/2220,6.7,±20%,Metal Terminal General,,[n],[s],[t]
GRM21BB30G476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,4,-,85,B,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GRM21BB30J476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,85,B,2012M/0805,1.45,±20%,General Purpose,derating1,[n],[s],[t]
GRM188R60E476ME15,ME,In Production,47000000,2.5,-,85,X5R,1608M/0603,1,±20%,General Purpose,mobile,[n],[s],[t]
GRM219R60G476ME44,CE|IE|AIC|MeI|ME,In Production,47000000,4,-,85,X5R,2012M/0805,0.95,±20%,General Purpose,derating1,[n],[s],[t]
GRM188R60G476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,4,-,85,X5R,1608M/0603,1,±20%,General Purpose,,[n],[s],[t]
GRM21BR60G476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,4,-,85,X5R,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GRM188R60G476ME15,ME,In Production,47000000,4,-,85,X5R,1608M/0603,1,±20%,General Purpose,mobile,[n],[s],[t]
GRM188R60J476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,85,X5R,1608M/0603,1,±20%,General Purpose,derating1,[n],[s],[t]
GRM31CR60J476ME19,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,85,X5R,3216M/1206,1.8,±20%,General Purpose,,[n],[s],[t]
GRM21BR60J476ME11,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,85,X5R,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GRM31CR60J476KE19,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,85,X5R,3216M/1206,1.8,±10%,General Purpose,,[n],[s],[t]
GRM188R60J476ME15,ME,In Production,47000000,6.3,-,85,X5R,1608M/0603,1,±20%,General Purpose,derating1|mobile,[n],[s],[t]
GRM219R60J476ME44,ME,In Production,47000000,6.3,-,85,X5R,2012M/0805,0.95,±20%,General Purpose,derating1|mobile,[n],[s],[t]
ZRB18AR60J476ME01,ME,In Production,47000000,6.3,-,85,X5R,1608M/0603,1.2,±20%,Acoustic noise reduction (interposer),derating1|mobile,[n],[s],[t]
GRM21BR60J476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,85,X5R,2012M/0805,1.45,±20%,General Purpose,derating1,[n],[s],[t]
GRM21BR61A476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,85,X5R,2012M/0805,1.45,±20%,General Purpose,derating1,[n],[s],[t]
GRM31CR61A476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,85,X5R,3216M/1206,1.8,±20%,General Purpose,,[n],[s],[t]
GXT31CR61A476KE13,IE|AIC|MeI,In Production,47000000,10,-,85,X5R,3216M/1206,1.8,±10%,Water repellent/ Infotainment [AEC-Q200],derating1,[n],[s],[t]
