Manufacturer,MfrPartName,TChar,Capacitance,VoltageRatedDC,Volume,Package,C_Cv,V_Cv,C0,Cr,Vr,Cr_n,Er,Ce,EnergyDensity
TDK,CGA2B2X8R2A102M050BE Equiv. C1005X8R2A102M for Auto,X8R,1nF,100,3.00E-10,402,[1e-09 1.02622e-09 1.02879e-09 1.02732e-09 1.01516e-09 9.80097e-10 9.22733e-10 8.17719e-10 6.47599e-10 5.18177e-10],[0 4 6.3 10 16 25 35 50 75 100],1.00E-09,5.18E-10,100,0.518177,3.54E-06,7.09E-10,11816.04428
TDK,CGA2B2X8R2A221K050BA Equiv. C1005X8R2A221K for Auto,X8R,220pF,100,2.75E-10,402,[2.2e-10 2.23565e-10 2.24331e-10 2.24566e-10 2.23514e-10 2.20163e-10 2.14606e-10 2.03564e-10 1.81306e-10 1.58731e-10],[0 4 6.3 10 16 25 35 50 75 100],2.20E-10,1.59E-10,100,0.721504545,9.38E-07,1.88E-10,3412.207191
TDK,CGA2B2X8R2A221K050BE Equiv. C1005X8R2A221K for Auto,X8R,220pF,100,3.00E-10,402,[2.2e-10 2.23565e-10 2.24331e-10 2.24566e-10 2.23514e-10 2.20163e-10 2.14606e-10 2.03564e-10 1.81306e-10 1.58731e-10],[0 4 6.3 10 16 25 35 50 75 100],2.20E-10,1.59E-10,100,0.721504545,9.38E-07,1.88E-10,3127.856592
TDK,CGA2B2X8R2A221M050BA Equiv. C1005X8R2A221M for Auto,X8R,220pF,100,2.75E-10,402,[2.2e-10 2.23565e-10 2.24331e-10 2.24566e-10 2.23514e-10 2.20163e-10 2.14606e-10 2.03564e-10 1.81306e-10 1.58731e-10],[0 4 6.3 10 16 25 35 50 75 100],2.20E-10,1.59E-10,100,0.721504545,9.38E-07,1.88E-10,3412.207191
TDK,CGA2B2X8R2A221M050BE Equiv. C1005X8R2A221M for Auto,X8R,220pF,100,3.00E-10,402,[2.2e-10 2.23565e-10 2.24331e-10 2.24566e-10 2.23514e-10 2.20163e-10 2.14606e-10 2.03564e-10 1.81306e-10 1.58731e-10],[0 4 6.3 10 16 25 35 50 75 100],2.20E-10,1.59E-10,100,0.721504545,9.38E-07,1.88E-10,3127.856592
TDK,CGA2B2X8R2A222K050BA Equiv. C1005X8R2A222K for Auto,X8R,2.2nF,100,2.75E-10,402,[2.2e-09 2.27071e-09 2.27553e-09 2.26793e-09 2.22795e-09 2.11864e-09 1.94855e-09 1.66252e-09 1.25722e-09 9.82389e-10],[0 4 6.3 10 16 25 35 50 75 100],2.20E-09,9.82E-10,100,0.446540455,7.10E-06,1.42E-09,25817.2637
TDK,CGA2B2X8R2A222K050BE Equiv. C1005X8R2A222K for Auto,X8R,2.2nF,100,3.00E-10,402,[2.2e-09 2.27071e-09 2.27553e-09 2.26793e-09 2.22795e-09 2.11864e-09 1.94855e-09 1.66252e-09 1.25722e-09 9.82389e-10],[0 4 6.3 10 16 25 35 50 75 100],2.20E-09,9.82E-10,100,0.446540455,7.10E-06,1.42E-09,23665.82506
TDK,CGA2B2X8R2A222M050BA Equiv. C1005X8R2A222M for Auto,X8R,2.2nF,100,2.75E-10,402,[2.2e-09 2.27071e-09 2.27553e-09 2.26793e-09 2.22795e-09 2.11864e-09 1.94855e-09 1.66252e-09 1.25722e-09 9.82389e-10],[0 4 6.3 10 16 25 35 50 75 100],2.20E-09,9.82E-10,100,0.446540455,7.10E-06,1.42E-09,25817.2637
TDK,CGA2B2X8R2A222M050BE Equiv. C1005X8R2A222M for Auto,X8R,2.2nF,100,3.00E-10,402,[2.2e-09 2.27071e-09 2.27553e-09 2.26793e-09 2.22795e-09 2.11864e-09 1.94855e-09 1.66252e-09 1.25722e-09 9.82389e-10],[0 4 6.3 10 16 25 35 50 75 100],2.20E-09,9.82E-10,100,0.446540455,7.10E-06,1.42E-09,23665.82506
TDK,CGA2B2X8R2A471K050BA Equiv. C1005X8R2A471K for Auto,X8R,470pF,100,2.75E-10,402,[4.7e-10 4.80222e-10 4.82192e-10 4.83191e-10 4.81711e-10 4.75319e-10 4.63423e-10 4.38196e-10 3.8531e-10 3.31517e-10],[0 4 6.3 10 16 25 35 50 75 100],4.70E-10,3.32E-10,100,0.705355319,2.00E-06,4.00E-10,7272.979564
