Manufacturer,MfrPartName,TChar,Capacitance,VoltageRatedDC,Volume,Package,C_Cv,V_Cv,C0,Cr,Vr,Cr_n,Er,Ce,EnergyDensity
TDK,C0402X5R1A102K020BC,X5R,1nF,10,1.76E-11,1005,[1e-09 1.00488e-09 1.0077e-09 9.99707e-10 9.85195e-10 9.68224e-10 9.39925e-10 8.94103e-10 8.33148e-10],[0 1 2 3.15 4 5 6.3 8 10],1.00E-09,8.33E-10,10,0.833148,4.61E-08,9.22E-10,2620.591312
TDK,C0402X5R1A222K020BC,X5R,2.2nF,10,1.76E-11,1005,[2.2e-09 2.23037e-09 2.23432e-09 2.20786e-09 2.1663e-09 2.11684e-09 2.03962e-09 1.91717e-09 1.75668e-09],[0 1 2 3.15 4 5 6.3 8 10],2.20E-09,1.76E-09,10,0.798490909,9.97E-08,1.99E-09,5667.105373
TDK,C0402X7R1A102K020BC,X7R,1nF,10,1.76E-11,1005,[1e-09 1.00488e-09 1.0077e-09 9.99707e-10 9.85195e-10 9.68224e-10 9.39925e-10 8.94103e-10 8.33148e-10],[0 1 2 3.15 4 5 6.3 8 10],1.00E-09,8.33E-10,10,0.833148,4.61E-08,9.22E-10,2620.591312
TDK,C0510X5R0J105M030BC,X5R,1μF,6.3,1.82E-10,204,[1e-06 9.52252e-07 8.61909e-07 7.88993e-07 7.04931e-07 5.90808e-07 4.83332e-07 3.80805e-07],[0 1.25 2 2.5 3.15 4 5 6.3],1.00E-06,3.81E-07,6.3,0.380805,1.17E-05,5.88E-07,64159.47844
TDK,C0510X5R1A474M030BC,X5R,470nF,10,1.82E-10,204,[4.7e-07 4.28251e-07 3.70297e-07 3.2846e-07 2.84804e-07 2.31662e-07 1.85201e-07 1.42116e-07 1.05373e-07 7.85861e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10],4.70E-07,7.86E-08,10,0.167204468,7.79E-06,1.56E-07,42828.28076
TDK,C0510X5R1C104M030BC,X5R,100nF,16,1.82E-10,204,[1e-07 1.00579e-07 9.9218e-08 9.76092e-08 9.52792e-08 9.11359e-08 8.59023e-08 7.86387e-08 6.91231e-08 5.86914e-08 4.76057e-08 3.60966e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],1.00E-07,3.61E-08,16,0.360966,7.36E-06,5.75E-08,40415.99313
TDK,C0510X5R1C474M030BC,X5R,470nF,16,1.82E-10,204,[4.7e-07 4.28251e-07 3.70297e-07 3.2846e-07 2.84804e-07 2.31662e-07 1.85201e-07 1.42116e-07 1.05373e-07 7.85861e-08 5.89942e-08 4.39146e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],4.70E-07,4.39E-08,16,0.093435319,1.22E-05,9.54E-08,67093.6362
TDK,C0510X6S0G104M030BC,X6S,100nF,4,1.82E-10,204,[1e-07 8.77887e-08 7.74937e-08 6.38458e-08 5.38632e-08],[0 1 2 3.15 4],1.00E-07,5.39E-08,4,0.538632,5.56E-07,6.95E-08,3055.475325
TDK,C0510X6S0G105M030BC,X6S,1μF,4,1.82E-10,204,[1e-06 9.49651e-07 8.56412e-07 7.81455e-07 6.9538e-07 5.79649e-07],[0 1.25 2 2.5 3.15 4],1.00E-06,5.80E-07,4,0.579649,6.08E-06,7.61E-07,33429.27531
TDK,C0510X6S0G224M030BC,X6S,220nF,4,1.82E-10,204,[2.2e-07 2.12963e-07 2.01402e-07 1.80748e-07 1.66384e-07],[0 1 2 3.15 4],2.20E-07,1.66E-07,4,0.756290909,1.51E-06,1.89E-07,8306.491362
TDK,C0510X6S0G474M030BC,X6S,470nF,4,1.82E-10,204,[4.7e-07 4.48729e-07 4.18305e-07 3.66903e-07 3.16482e-07],[0 1 2 3.15 4],4.70E-07,3.16E-07,4,0.673365957,3.08E-06,3.85E-07,16941.39054
TDK,C0510X6S0J474M030BC,X6S,470nF,6.3,1.82E-10,204,[4.7e-07 4.28251e-07 3.70297e-07 3.2846e-07 2.84804e-07 2.31662e-07 1.85201e-07 1.42116e-07],[0 1.25 2 2.5 3.15 4 5 6.3],4.70E-07,1.42E-07,6.3,0.302374468,4.69E-06,2.36E-07,25774.66162
TDK,C0510X7R1E473M030BA,X7R,47nF,25,1.82E-10,204,[4.7e-08 4.74124e-08 4.73056e-08 4.70704e-08 4.66933e-08 4.59494e-08 4.48925e-08 4.32714e-08 4.08612e-08 3.78213e-08 3.39524e-08 2.88282e-08 1.89911e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],4.70E-08,1.90E-08,25,0.404065957,8.94E-06,2.86E-08,49129.24516
TDK,C0510X7R1H473M030BC,X7R,47nF,50,1.82E-10,204,[4.7e-08 4.74124e-08 4.73056e-08 4.70704e-08 4.66933e-08 4.59494e-08 4.48925e-08 4.32714e-08 4.08612e-08 3.78213e-08 3.39524e-08 2.88282e-08 1.89911e-08 1.28549e-08 8.34178e-09],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25 35 50],4.70E-08,8.34E-09,50,0.177484681,2.01E-05,1.61E-08,110561.0037
TDK,C0510X7S0E105M030BC,X7S,1μF,2.5,1.82E-10,204,[1e-06 9.41518e-07 8.48707e-07],[0 1.25 2],1.00E-06,8.49E-07,2,0.848707,1.86E-06,9.29E-07,10209.16227
TDK,C0510X7S0G474M030BC,X7S,470nF,4,1.82E-10,204,[4.7e-07 4.28251e-07 3.70297e-07 3.2846e-07 2.84804e-07 2.31662e-07],[0 1.25 2 2.5 3.15 4],4.70E-07,2.32E-07,4,0.492897872,2.58E-06,3.22E-07,14157.89241
TDK,C0603X5R0J224K030BB,X5R,220nF,6.3,5.94E-11,201,[2.2e-07 1.97499e-07 1.53803e-07 1.10134e-07 8.66545e-08 4.99427e-08],[0 1 2 3.15 4 6.3],2.20E-07,4.99E-08,6.3,0.227012273,1.81E-06,9.11E-08,30432.66033
TDK,C0603X5R0J474M030BC,X5R,470nF,6.3,5.94E-11,201,[4.7e-07 3.43579e-07 2.52064e-07 2.0398e-07 1.62724e-07 1.21339e-07 9.22306e-08 6.90659e-08],[0 1.25 2 2.5 3.15 4 5 6.3],4.70E-07,6.91E-08,6.3,0.146948723,2.74E-06,1.38E-07,46096.31269
TDK,C0603X5R1A104K030BC,X5R,100nF,10,5.94E-11,201,[1e-07 8.959e-08 6.9344e-08 4.93171e-08 3.87046e-08 2.24793e-08 1.64572e-08 1.23891e-08],[0 1 2 3.15 4 6.3 8 10],1.00E-07,1.24E-08,10,0.123891,1.30E-06,2.60E-08,21853.87973
TDK,C0603X5R1A224K030BB,X5R,220nF,10,5.94E-11,201,[2.2e-07 1.97499e-07 1.53803e-07 1.10134e-07 8.66545e-08 4.99427e-08 3.60823e-08 2.67259e-08],[0 1 2 3.15 4 6.3 8 10],2.20E-07,2.67E-08,10,0.121481364,2.87E-06,5.75E-08,48377.34939
TDK,C0603X5R1A474M030BC,X5R,470nF,10,6.30E-11,201,[4.7e-07 3.47922e-07 2.51438e-07 1.99533e-07 1.55675e-07 1.13192e-07 8.45584e-08 6.26061e-08 4.65188e-08 3.59153e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10],4.70E-07,3.59E-08,10,0.076415532,4.00E-06,7.99E-08,63421.18564
TDK,C0603X5R1C104K030BC,X5R,100nF,16,5.94E-11,201,[1e-07 8.959e-08 6.9344e-08 4.93171e-08 3.87046e-08 2.24793e-08 1.64572e-08 1.23891e-08 9.49148e-09 7.25125e-09],[0 1 2 3.15 4 6.3 8 10 12.5 16],1.00E-07,7.25E-09,16,0.0725125,2.01E-06,1.57E-08,33856.89138
TDK,C0603X5R1C224K030BC,X5R,220nF,16,5.94E-11,201,[2.2e-07 1.97499e-07 1.53803e-07 1.10134e-07 8.66545e-08 4.99427e-08 3.60823e-08 2.67259e-08 2.01541e-08 1.52045e-08],[0 1 2 3.15 4 6.3 8 10 12.5 16],2.20E-07,1.52E-08,16,0.069111364,4.39E-06,3.43E-08,73846.83969
TDK,C0603X5R1E102K030BA,X5R,1nF,25,5.94E-11,201,[1e-09 1.00819e-09 1.01383e-09 1.01554e-09 1.01044e-09 1.00875e-09 1.0045e-09 9.95e-10 9.79226e-10 9.5558e-10 9.15545e-10 7.93568e-10],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],1.00E-09,7.94E-10,25,0.793568,2.81E-07,8.99E-10,4729.376319
TDK,C0603X5R1E104K030BB,X5R,100nF,25,5.94E-11,201,[1e-07 9.36985e-08 8.43323e-08 7.66904e-08 6.78895e-08 5.65342e-08 4.62357e-08 3.62499e-08 2.72674e-08 2.05202e-08 1.54101e-08 1.13567e-08 6.9335e-09],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],1.00E-07,6.93E-09,25,0.069335,4.71E-06,1.51E-08,79233.66153
TDK,C0603X5R1E222K030BA,X5R,2.2nF,25,5.94E-11,201,[2.2e-09 2.21405e-09 2.22155e-09 2.22147e-09 2.20749e-09 2.19738e-09 2.18036e-09 2.1467e-09 2.09385e-09 2.01534e-09 1.8851e-09 1.51595e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-09,1.52E-09,25,0.689068182,5.74E-07,1.84E-09,9669.868196
TDK,C0603X5R1E223K030BB,X5R,22nF,25,5.94E-11,201,[2.2e-08 2.07389e-08 1.89352e-08 1.74367e-08 1.56797e-08 1.33086e-08 1.11137e-08 8.9128e-09 6.8848e-09 5.31464e-09 4.08214e-09 3.06556e-09 1.88915e-09],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-08,1.89E-09,25,0.085870455,1.21E-06,3.88E-09,20401.74714
TDK,C0603X5R1E224K030BC,X5R,220nF,25,6.30E-11,201,[2.2e-07 1.94089e-07 1.63157e-07 1.4094e-07 1.18395e-07 9.25879e-08 7.28688e-08 5.62502e-08 4.20125e-08 3.16164e-08 2.39855e-08 1.80488e-08 1.15682e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-07,1.16E-08,25,0.052582727,7.63E-06,2.44E-08,121046.3585
TDK,C0603X5R1E473K030BB,X5R,47nF,25,5.94E-11,201,[4.7e-08 4.4038e-08 3.96841e-08 3.61655e-08 3.21454e-08 2.68623e-08 2.21051e-08 1.74354e-08 1.3235e-08 1.00547e-08 7.62026e-09 5.66722e-09 3.47688e-09],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],4.70E-08,3.48E-09,25,0.07397617,2.31E-06,7.39E-09,38858.78091
TDK,C0603X6S0G474M030BC,X6S,470nF,4,6.30E-11,201,[4.7e-07 3.52549e-07 2.61726e-07 2.12957e-07 1.70546e-07 1.27558e-07],[0 1.25 2 2.5 3.15 4],4.70E-07,1.28E-07,4,0.2714,1.75E-06,2.18E-07,27735.33693
TDK,C0603X6S0J224K030BC,X6S,220nF,6.3,5.94E-11,201,[2.2e-07 1.97499e-07 1.53803e-07 1.10134e-07 8.66545e-08 4.99427e-08],[0 1 2 3.15 4 6.3],2.20E-07,4.99E-08,6.3,0.227012273,1.81E-06,9.11E-08,30432.66033
TDK,C0603X6S1A224K030BC,X6S,220nF,10,6.30E-11,201,[2.2e-07 1.97499e-07 1.53803e-07 1.10134e-07 8.66545e-08 4.99427e-08 3.60823e-08 2.67259e-08],[0 1 2 3.15 4 6.3 8 10],2.20E-07,2.67E-08,10,0.121481364,2.87E-06,5.75E-08,45612.92942
TDK,C0603X6S1C104K030BC,X6S,100nF,16,5.94E-11,201,[1e-07 9.36985e-08 8.43323e-08 7.66904e-08 6.78895e-08 5.65342e-08 4.62357e-08 3.62499e-08 2.72674e-08 2.05202e-08 1.54101e-08 1.13567e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],1.00E-07,1.14E-08,16,0.113567,3.08E-06,2.41E-08,51837.18049
TDK,C0603X6S1C223K030BC,X6S,22nF,16,5.94E-11,201,[2.2e-08 2.07271e-08 1.88991e-08 1.73801e-08 1.5599e-08 1.31973e-08 1.09799e-08 8.76592e-09 6.73725e-09 5.17583e-09 3.95844e-09 2.96327e-09],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],2.20E-08,2.96E-09,16,0.134694091,7.56E-07,5.90E-09,12720.16516
TDK,C0603X6S1C473K030BC,X6S,47nF,16,5.94E-11,201,[4.7e-08 4.4038e-08 3.96841e-08 3.61655e-08 3.21454e-08 2.68623e-08 2.21051e-08 1.74354e-08 1.3235e-08 1.00547e-08 7.62026e-09 5.66722e-09],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],4.70E-08,5.67E-09,16,0.120579149,1.49E-06,1.17E-08,25151.66965
TDK,C0603X7R1A103K030BA,X7R,10nF,10,5.94E-11,201,[1e-08 1.01879e-08 1.01004e-08 9.89609e-09 9.64584e-09 9.36411e-09 8.94147e-09 8.30925e-09 7.5288e-09],[0 1 2 3.15 4 5 6.3 8 10],1.00E-08,7.53E-09,10,0.75288,4.37E-07,8.74E-09,7356.565189
TDK,C0603X7R1C472K030BA,X7R,4.7nF,16,5.94E-11,201,[4.7e-09 4.72825e-09 4.72094e-09 4.69209e-09 4.6397e-09 4.58649e-09 4.50223e-09 4.36479e-09 4.16885e-09 3.89611e-09 3.46568e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16],4.70E-09,3.47E-09,16,0.737378723,5.19E-07,4.06E-09,8743.844094
TDK,C0603X7R1E102K030BA,X7R,1nF,25,5.94E-11,201,[1e-09 1.00819e-09 1.01383e-09 1.01554e-09 1.01044e-09 1.00875e-09 1.0045e-09 9.95e-10 9.79226e-10 9.5558e-10 9.15545e-10 7.93568e-10],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],1.00E-09,7.94E-10,25,0.793568,2.81E-07,8.99E-10,4729.376319
TDK,C0603X7R1E222K030BA,X7R,2.2nF,25,5.94E-11,201,[2.2e-09 2.21405e-09 2.22155e-09 2.22147e-09 2.20749e-09 2.19738e-09 2.18036e-09 2.1467e-09 2.09385e-09 2.01534e-09 1.8851e-09 1.51595e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-09,1.52E-09,25,0.689068182,5.74E-07,1.84E-09,9669.868196
TDK,C0603X7S0G224K030BC,X7S,220nF,4,5.94E-11,201,[2.2e-07 1.97499e-07 1.53803e-07 1.10134e-07 8.66545e-08],[0 1 2 3.15 4],2.20E-07,8.67E-08,4,0.393884091,1.04E-06,1.31E-07,17584.2817
TDK,C0603X7S0J224K030BC,X7S,220nF,6.3,6.30E-11,201,[2.2e-07 1.97499e-07 1.53803e-07 1.10134e-07 8.66545e-08 4.99427e-08],[0 1 2 3.15 4 6.3],2.20E-07,4.99E-08,6.3,0.227012273,1.81E-06,9.11E-08,28693.65117
TDK,C0603X7S1A104K030BC,X7S,100nF,10,5.94E-11,201,[1e-07 8.959e-08 6.9344e-08 4.93171e-08 3.87046e-08 2.24793e-08 1.64572e-08 1.23891e-08],[0 1 2 3.15 4 6.3 8 10],1.00E-07,1.24E-08,10,0.123891,1.30E-06,2.60E-08,21853.87973
TDK,C0603X7S1A223K030BC,X7S,22nF,10,5.94E-11,201,[2.2e-08 2.09453e-08 1.91905e-08 1.77257e-08 1.60287e-08 1.37336e-08 1.15111e-08 9.26473e-09 7.17149e-09 5.51735e-09],[0 1.25 2 2.5 3.15 4 5 6.3 8 10],2.20E-08,5.52E-09,10,0.250788636,4.82E-07,9.63E-09,8106.625687
TDK,C0816X5R0J105M050AC,X5R,1μF,6.3,7.68E-10,306,[1e-06 9.89518e-07 8.87426e-07 7.39045e-07 6.44874e-07 5.27262e-07 4.33636e-07],[0 1 2 3.15 4 5 6.3],1.00E-06,4.34E-07,6.3,0.433636,1.25E-05,6.28E-07,16240.10121
TDK,C0816X5R0J225M050AC,X5R,2.2μF,6.3,7.68E-10,306,[2.2e-06 2.14922e-06 2.01306e-06 1.80576e-06 1.65358e-06 1.47405e-06 1.26013e-06],[0 1 2 3.15 4 5 6.3],2.20E-06,1.26E-06,6.3,0.572786364,3.21E-05,1.62E-06,41843.90024
TDK,C0816X5R0J475M050AC,X5R,4.7μF,6.3,7.68E-10,306,[4.7e-06 4.52197e-06 4.10877e-06 3.77167e-06 3.37879e-06 2.84373e-06 2.34584e-06 1.84855e-06],[0 1.25 2 2.5 3.15 4 5 6.3],4.70E-06,1.85E-06,6.3,0.393308511,5.62E-05,2.83E-06,73178.84648
TDK,C0816X5R1C105M050AC,X5R,1μF,16,7.68E-10,306,[1e-06 1.00711e-06 9.92376e-07 9.75969e-07 9.5263e-07 9.11638e-07 8.60386e-07 7.89649e-07 6.96823e-07 5.94008e-07 4.82687e-07 3.64651e-07],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],1.00E-06,3.65E-07,16,0.364651,7.42E-05,5.80E-07,96626.09872
TDK,C0816X6S0G475M050AC,X6S,4.7μF,4,7.68E-10,306,[4.7e-06 4.52197e-06 4.10877e-06 3.77167e-06 3.37879e-06 2.84373e-06],[0 1.25 2 2.5 3.15 4],4.70E-06,2.84E-06,4,0.605048936,2.94E-05,3.67E-06,38236.42027
TDK,C0816X7S0G105M050AC,X7S,1μF,4,7.68E-10,306,[1e-06 9.89518e-07 8.87426e-07 7.39045e-07 6.44874e-07],[0 1 2 3.15 4],1.00E-06,6.45E-07,4,0.644874,6.40E-06,8.00E-07,8336.580301
TDK,C0816X7S0G225M050AC,X7S,2.2μF,4,7.68E-10,306,[2.2e-06 2.14922e-06 2.01306e-06 1.80576e-06 1.65358e-06],[0 1 2 3.15 4],2.20E-06,1.65E-06,4,0.751627273,1.51E-05,1.89E-06,19685.98985
TDK,C3216X6S1A336M160AC,X6S,33μF,10,9.22E-09,1206,[3.3e-05 3.23977e-05 2.72111e-05 2.02888e-05 1.64803e-05 1.30581e-05 9.95316e-06 7.34109e-06 5.48039e-06],[0 1 2 3.15 4 5 6.3 8 10],3.30E-05,5.48E-06,10,0.166072424,0.000551816,1.10E-05,59875.87369
TDK,C3216X6S1A476M160AC,X6S,47μF,10,9.22E-09,1206,[4.7e-05 4.23331e-05 3.44914e-05 2.55871e-05 2.08283e-05 1.66217e-05 1.28299e-05 9.62271e-06 7.3227e-06],[0 1 2 3.15 4 5 6.3 8 10],4.70E-05,7.32E-06,10,0.155802128,0.000711337,1.42E-05,77184.95429
TDK,C3216X6S1C226M160AC,X6S,22μF,16,9.22E-09,1206,[2.2e-05 2.17654e-05 1.99218e-05 1.70266e-05 1.50141e-05 1.28591e-05 1.05668e-05 8.30828e-06 6.46551e-06 4.92456e-06 3.63277e-06],[0 1 2 3.15 4 5 6.3 8 10 12.5 16],2.20E-05,3.63E-06,16,0.165125909,0.00090482,7.07E-06,98179.20073
TDK,C3216X6S1E226M160AC,X6S,22μF,25,9.73E-09,1206,[2.20634e-05 2.22157e-05 2.19727e-05 2.14214e-05 2.06848e-05 1.96962e-05 1.83534e-05 1.65493e-05 1.42596e-05 1.184e-05 9.36259e-06 6.88125e-06 3.81339e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],2.21E-05,3.81E-06,25,0.172837822,0.0024143,7.73E-06,248180.5321
TDK,C3216X7R1C106K160AC,X7R,10μF,16,9.22E-09,1206,[1e-05 9.94024e-06 9.78831e-06 9.38771e-06 8.9809e-06 8.44471e-06 7.68196e-06 6.641e-06 5.48103e-06 4.1896e-06 3.08804e-06],[0 1 2 3.15 4 5 6.3 8 10 12.5 16],1.00E-05,3.09E-06,16,0.308804,0.000680467,5.32E-06,73835.36582
TDK,C3216X7R1C106K160AE,X7R,10μF,16,9.73E-09,1206,[9.95806e-06 9.99896e-06 9.89526e-06 9.76215e-06 9.55735e-06 9.18521e-06 8.70408e-06 8.01208e-06 7.08608e-06 6.04833e-06 4.95031e-06 3.8024e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],9.96E-06,3.80E-06,16,0.381841443,0.000757129,5.92E-06,77829.91113
TDK,C3216X7R1E106K160AB,X7R,10μF,25,9.22E-09,1206,[1.04364e-05 1.04564e-05 1.03562e-05 1.0231e-05 1.00381e-05 9.6862e-06 9.22278e-06 8.55556e-06 7.63862e-06 6.59295e-06 5.43665e-06 4.18502e-06 2.44625e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],1.04E-05,2.45E-06,25,0.23439596,0.001394558,4.46E-06,151319.2297
TDK,C3216X7R1E106K160AE,X7R,10μF,25,9.73E-09,1206,[1.04364e-05 1.04564e-05 1.03562e-05 1.0231e-05 1.00381e-05 9.6862e-06 9.22278e-06 8.55556e-06 7.63862e-06 6.59295e-06 5.43665e-06 4.18502e-06 2.44625e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],1.04E-05,2.45E-06,25,0.23439596,0.001394558,4.46E-06,143355.0597
TDK,C3216X7R1E225K160AE,X7R,2.2μF,25,9.73E-09,1206,[2.2e-06 2.23201e-06 2.21416e-06 2.19489e-06 2.17091e-06 2.14223e-06 2.09738e-06 2.02557e-06 1.92683e-06 1.79153e-06 1.59156e-06 1.14718e-06],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-06,1.15E-06,25,0.521445455,0.000486589,1.56E-06,50019.44282
TDK,C3216X7R1E475K160AC,X7R,4.7μF,25,9.22E-09,1206,[4.7e-06 4.78248e-06 4.73476e-06 4.65987e-06 4.568e-06 4.44925e-06 4.26729e-06 3.98695e-06 3.6062e-06 3.12132e-06 2.58102e-06 1.5164e-06],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],4.70E-06,1.52E-06,25,0.322638298,0.00081476,2.61E-06,88407.14282
TDK,C3216X7R1E475K160AE,X7R,4.7μF,25,9.73E-09,1206,[5.1933e-06 5.24656e-06 5.24057e-06 5.21412e-06 5.17017e-06 5.08301e-06 4.95665e-06 4.75966e-06 4.46066e-06 4.07545e-06 3.58135e-06 2.9414e-06 1.82427e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],5.19E-06,1.82E-06,25,0.351273757,0.000919757,2.94E-06,94547.43418
TDK,C3216X7R1H105K160AB,X7R,1μF,50,9.22E-09,1206,[1e-06 1.03865e-06 1.02915e-06 1.01726e-06 1.00187e-06 9.82258e-07 9.51426e-07 9.03704e-07 8.42828e-07 7.64286e-07 6.61345e-07 4.61263e-07 3.82546e-07 2.91369e-07 2.25942e-07],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-06,2.26E-07,50,0.225942,0.000494883,3.96E-07,53698.21084
TDK,C3216X7R1H105K160AE,X7R,1μF,50,9.73E-09,1206,[1e-06 1.03865e-06 1.02915e-06 1.01726e-06 1.00187e-06 9.82258e-07 9.51426e-07 9.03704e-07 8.42828e-07 7.64286e-07 6.61345e-07 4.61263e-07 3.82546e-07 2.91369e-07 2.25942e-07],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-06,2.26E-07,50,0.225942,0.000494883,3.96E-07,50871.98921
TDK,C3216X7R1H106K160AC,X7R,10μF,50,9.73E-09,1206,[1e-05 1.01289e-05 1.00982e-05 1.00269e-05 9.91629e-06 9.70818e-06 9.42495e-06 9.00843e-06 8.41106e-06 7.67757e-06 6.7652e-06 5.59002e-06 3.46487e-06 2.26159e-06 1.44672e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25 35 50],1.00E-05,1.45E-06,50,0.144672,0.003723989,2.98E-06,382811.4189
TDK,C3216X7R1H106K160AE,X7R,10μF,50,9.73E-09,1206,[1e-05 1.01289e-05 1.00982e-05 1.00269e-05 9.91629e-06 9.70818e-06 9.42495e-06 9.00843e-06 8.41106e-06 7.67757e-06 6.7652e-06 5.59002e-06 3.46487e-06 2.26159e-06 1.44672e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25 35 50],1.00E-05,1.45E-06,50,0.144672,0.003723989,2.98E-06,382811.4189
TDK,C3216X7R1H225K160AB,X7R,2.2μF,50,9.22E-09,1206,[2.2e-06 2.24767e-06 2.25247e-06 2.24943e-06 2.24382e-06 2.23091e-06 2.20917e-06 2.172e-06 2.11152e-06 2.02537e-06 1.90198e-06 1.71249e-06 1.24726e-06 8.84003e-07 5.85838e-07],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25 35 50],2.20E-06,5.86E-07,50,0.26629,0.001285024,1.03E-06,139433.9764
TDK,C3216X7R1H225K160AE,X7R,2.2μF,50,9.73E-09,1206,[2.28385e-06 2.31566e-06 2.25169e-06 2.0962e-06 1.76981e-06 1.28436e-06 9.08016e-07 6.01039e-07],[0 4 6.3 10 16 25 35 50],2.28E-06,6.01E-07,50,0.26316921,0.001323354,1.06E-06,136035.5201
TDK,C3216X7R1H475K160AC,X7R,4.7μF,50,9.22E-09,1206,[5.1933e-06 5.24656e-06 5.24057e-06 5.21412e-06 5.17017e-06 5.08301e-06 4.95665e-06 4.75966e-06 4.46066e-06 4.07545e-06 3.58135e-06 2.9414e-06 1.82427e-06 1.21044e-06 7.89084e-07],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25 35 50],5.19E-06,7.89E-07,50,0.151942695,0.00198145,1.59E-06,215001.1232
TDK,C3216X7R1H475K160AE,X7R,4.7μF,50,9.73E-09,1206,[4.7e-06 4.80016e-06 4.79468e-06 4.77549e-06 4.74483e-06 4.67646e-06 4.58852e-06 4.45837e-06 4.2449e-06 3.98303e-06 3.64402e-06 3.16816e-06 2.1271e-06 1.41936e-06 8.98197e-07],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25 35 50],4.70E-06,8.98E-07,50,0.191105745,0.00219748,1.76E-06,225892.3069
TDK,C3216X7R1V106K160AC,X7R,10μF,35,9.22E-09,1206,[1e-05 1.01115e-05 1.00069e-05 9.75743e-06 9.49675e-06 9.16387e-06 8.66627e-06 7.94303e-06 6.89823e-06 5.8067e-06 4.53488e-06 2.65406e-06 2.01746e-06],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],1.00E-05,2.02E-06,30,0.201746,0.001798442,4.00E-06,195143.4417
TDK,C3216X7R1V106K160AE,X7R,10μF,35,9.73E-09,1206,[1e-05 1.01511e-05 1.00695e-05 9.95164e-06 9.77867e-06 9.47204e-06 9.07567e-06 8.517e-06 7.75404e-06 6.86553e-06 5.83118e-06 4.61094e-06 2.69393e-06 1.7349e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25 35],1.00E-05,1.73E-06,35,0.17349,0.002130027,3.48E-06,218958.3624
TDK,C3216X7R1V225K160AE,X7R,2.2μF,35,9.73E-09,1206,[2.28385e-06 2.31566e-06 2.25169e-06 2.0962e-06 1.76981e-06 1.28436e-06 9.08016e-07],[0 4 6.3 10 16 25 35],2.28E-06,9.08E-07,35,0.397581277,0.000858258,1.40E-06,88225.51249
TDK,C3216X7R1V475K160AB,X7R,4.7μF,35,9.22E-09,1206,[5.1933e-06 5.24656e-06 5.24057e-06 5.21412e-06 5.17017e-06 5.08301e-06 4.95665e-06 4.75966e-06 4.46066e-06 4.07545e-06 3.58135e-06 2.9414e-06 1.82427e-06 1.21044e-06],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25 35],5.19E-06,1.21E-06,35,0.233077234,0.001361901,2.22E-06,147775.7355
